,shop_id,name,review_count,rating,latitude,longitude,price
98,HjGjGy3JhhRFcR7MaQLrjA,Frisson Espresso,666,4.5,40.7608108520508,-73.9889984130859,$
99,JzywxXBb3ITQsuUfN8NhmA,About Coffee,7,4.5,40.69034,-73.99168,None
100,7-yC49tlWreX6TQtMNFSFg,Kitsby,81,4.5,40.71411,-73.96098,$$
101,ejZjFbR_Z3He5pi699eJKg,Birch Coffee,62,4.0,40.71084,-74.005672,$$
102,a8d18n8gAQpQHcr6KwCCeA,Saturdays NYC - Coffee Bar,75,4.0,40.72079,-73.99944,$$
103,YTYxc-Q8A3gRxjBr4nz_Xw,Upright Coffee,125,4.5,40.7292285,-73.9537541,$$
104,KZdEZBwNuDFP0p9S-ji1cw,Oliver Coffee,21,4.0,40.71302,-73.9980951,$
105,Xuw7N7_KqDBZMSAX5H-H1g,Elsewhere Espresso,92,4.0,40.7268278898069,-73.9869972123936,$
106,Ivxtwp0QY1znDpe279MqgQ,FIKA,167,4.0,40.7675,-73.98933,$$
107,m4xMS2SyPJjUJJqPwv2Jig,Felix Roasting Co,115,4.5,40.74497,-73.98312,None
108,CBmrwh7jHn88M4v8Q9Qyyg,White Noise Coffee Co,37,4.5,40.6896242,-73.9882489,None
109,1fDtQij01Mk92ZTGn6WHjg,The Little Sweet Cafe,116,4.5,40.6881418,-73.9867324,$$
110,aljEnhQthQwifG971tY1mA,Everyman Espresso,371,4.0,40.7327852478612,-73.9883291989235,$$
111,l29pVn4RfU9xYMggiIVOcg,R & R Coffee,200,4.0,40.7089119,-74.0054779,$
112,DE0ROwygh-86i4s-WLp8wQ,Maman Soho,449,4.0,40.72028,-73.9984,$$
113,4VEgZ7aVUt6oKw8KmXj-jQ,Brooklyn Kolache,293,4.5,40.6907913077698,-73.9556479454041,$
114,bHY5-dzDzzTw6Xl0duONVQ,Interlude Coffee & Tea,27,5.0,40.72107,-74.00868,$$
115,MB8yE2zRveecPR4bILb_0g,La Colombe Coffee,84,4.0,40.7266995,-74.0070413,$$
116,18-qEPtsL2lbZH4ianmicg,The Granddaddy,93,4.0,40.71782,-73.992,$$
117,t4M1VX4n34eEgUWMJ7cgKw,Daily Provisions,344,4.5,40.73768,-73.9876685,$$
118,2U1YsflxwLu_oOL5D-1nhg,Hedgehog Coffee Shop,11,3.5,40.66971,-73.97942,None
119,TQNhPJC5PeUcm901UPd7Sw,Abbotsford Road Coffee Specialists,29,4.5,40.6793462,-73.9853789,$$
120,Hx-4-YMPBy7KxypY2Q04PQ,About Coffee,19,4.5,40.7833312,-73.9742854,None
121,N_zs2kYtyukNlbnj7xH1Sw,Drip Beverage Lounge,5,5.0,40.65028,-73.95258,None
122,MKYhiSeXjahxh9O4Gqnimw,Grace Street,2228,4.0,40.7478576793883,-73.9865590631962,$$
123,SUYDozrIGzn9yY4yZ2ajvA,Ninth Street Espresso,268,4.0,40.7251,-73.9778,$
124,43WQ7zr54WL3yfT5KTlNBQ,Three Jewels Cafe,9,4.0,40.72624,-73.99119,None
125,COV3XLEiAiK76Yg2HbFjWA,Urban Vintage,269,4.5,40.6879410741655,-73.9628667682618,$$
126,MN17Htz75s1aZvO5nltzPA,Haven Cafe,33,5.0,40.71885,-73.99668,$
127,kuKSvCZDFrgOrY-dcrOefg,Round K,347,4.5,40.718906,-73.990966,$$
128,9-ornJr0G_IHkl6FpcCNzw,Terremoto Coffee,88,4.5,40.74079,-74.00337,$$
129,vZevXSC1w27dEvXc2EHCEg,Good Thanks NYC,106,4.5,40.71972,-73.98952,$$
130,7Ksn_bVJ3O2mWXRGMKpzTw,King's Street Coffee,78,4.5,40.74783,-73.99068,$$
131,qF-tPT7PkyNKbs2Js6EdNg,Birch Coffee,347,4.5,40.7436778937491,-73.9864144708908,$$
132,gA0VbcoBLCiD2EpSC6vWeg,Partners Coffee,117,4.5,40.7476041585384,-73.9415750187762,$
133,prQUP_jDq72ll8jf__TK_w,Black Cat LES,283,4.0,40.719129,-73.984509,$
134,Mkx7wE0Jlb0bFYGhEpulSg,Blackstone Coffee Roasters,55,4.5,40.7332899,-74.00619,$$$
135,fiVtLDD20uyMh_qiAKyZGA,Roasting Plant,268,4.0,40.71781,-73.99051,$
136,Q1ErIlQqHXqtb-13UXXjVQ,Four & Twenty Blackbirds,692,4.0,40.67206,-73.99015,$$
137,S1vJPFkIxBwlPIqikvT_gQ,Irving Farm New York,516,3.5,40.7367161883013,-73.9868168809509,$$
138,K8jxwX2nxPC5Smq6A0MFnw,Shuteye Coffee,58,5.0,40.80295,-73.95116,$
139,9n0sgwkX4Fyo4xXN34Vudg,Cocoa Grinder,10,4.0,40.6159142334913,-74.0313946566505,None
140,uL709qg0IGe4KsNZk_AjxQ,Lion's Milk,97,4.5,40.7159199,-73.9558,$
141,uQ4HZzNarBBNcTKZSIY-vA,Black Fox Coffee,177,4.0,40.7063449,-74.0076944,$$
142,ipAsHykRvgJzpx5hD8vTJw,Tokuyama Salon Café,23,4.5,40.72399,-73.9802,None
143,7a6aiWA3UCEHUKyTRRkESQ,Caffe Vita Bushwick,25,4.5,40.70879,-73.92521,$$
144,aafj0sUR__011Dm5EZ_TFg,Bibble & Sip,92,4.5,40.71796,-73.99761,$
145,vijwGDNrPBJHEG7_DsjZNw,Usagi NY,58,4.5,40.70383,-73.98691,$$
146,IReRSHK0JWe2JjwKdQV1sA,Tre Jolie Cafe,3,4.5,40.68387,-73.90786,None
147,ZUN2kNZXiXmGteViaQ3LSg,Coffee RX,42,4.5,40.61117,-74.00944,$
148,neqjsm1AbaGcLDRNshEA7A,Gregorys Coffee,47,4.0,40.693613,-73.990789,$
149,XSwagBljEsxG2i1rq4GEAQ,Almondine Bakery,347,4.0,40.7033174,-73.9912506,$$
150,64yrGc7EDNd09ZmhUrizCw,Birch Coffee,223,4.0,40.7638444066087,-73.9665842526398,$$
151,OQOr0DE1HtSNfxO5_mwfFg,Five & Dime,71,4.5,40.7126429155284,-74.0080474702053,$$
152,Zc7Jbuwe3XO-EaVXIh_TYQ,Banter,360,4.5,40.72787,-74.0010999,$$
153,nZhpUWlVygHyIxvLCf_TvQ,Blue Stripes Cacao Shop,248,4.5,40.73464,-73.9929,$$
154,ntkrxOSYT5VtTL4Z5jmmeA,Ground Central,611,4.0,40.757575,-73.970321,$
